venue,avg_first_innings_score,highest_score,lowest_score,run_rate_avg,avg_second_innings_score,avg_wickets_lost_1st,avg_wickets_lost_2nd,pace_vs_spin_ratio,bat_first_win_pct,chase_win_pct,toss_win_pct,month,season,day_night
"Eden Gardens, Kolkata",196.7826086956522,261,149,9.452132706050477,175.65217391304347,317.82608695652175,314.4347826086956,0.9999312383964795,0.21739130434782608,0.782608695652174,1.0,4,summer,0.0
Feroz Shah Kotla,161.63333333333333,231,56,7.922272914477273,147.84745762711864,300.8,283.66101694915255,0.9999712519764267,0.43333333333333335,0.5666666666666667,1.0,4,summer,0.0
Green Park,161.25,195,124,7.868498086386003,163.25,345.25,285.75,0.9996039603960396,0.0,1.0,1.0,5,summer,0.0
Himachal Pradesh Cricket Association Stadium,175.66666666666666,232,120,8.49780772027261,146.22222222222223,227.11111111111111,314.44444444444446,0.9997948717948718,0.1111111111111111,0.8888888888888888,1.0,5,summer,0.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",194.33333333333334,241,122,10.246272715910512,181.2,267.8333333333333,411.4,0.9997271487039563,0.16666666666666666,0.8333333333333334,1.0,5,summer,0.0
Holkar Cricket Stadium,160.33333333333334,245,88,7.899285167593523,158.77777777777777,320.6666666666667,184.33333333333334,0.9997800263968324,0.1111111111111111,0.8888888888888888,1.0,5,summer,0.0
JSCA International Stadium Complex,149.0,185,115,7.507194837066147,144.71428571428572,242.28571428571428,268.42857142857144,0.9997203579418344,0.42857142857142855,0.5714285714285714,1.0,5,summer,0.0
Kingsmead,152.0,211,101,7.360374158389293,138.2,340.06666666666666,304.4,0.9998965659908978,0.6666666666666666,0.3333333333333333,1.0,5,summer,0.0
M Chinnaswamy Stadium,168.06153846153848,263,89,8.381346931624282,145.515625,271.5076923076923,281.40625,0.9999719620927494,0.12307692307692308,0.8769230769230769,1.0,5,summer,0.0
"M Chinnaswamy Stadium, Bengaluru",189.05263157894737,287,95,9.119501328184924,179.8421052631579,294.89473684210526,334.2105263157895,0.9999163459929731,0.0,1.0,1.0,4,summer,0.0
M.Chinnaswamy Stadium,173.93333333333334,218,62,9.038798683055917,167.86666666666667,278.8,296.3333333333333,0.9998840982846546,0.06666666666666667,0.9333333333333333,1.0,4,summer,0.0
